Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
GLOBAL INDUSTRIAL SUPPLIES & SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLCJI103807,"To provide supplies and services to different government entities. Supplier of pipes, valve, flanges, plumbing, electrical, safety, laboratory equipment's, construction materials, rental of tools and equipment, stationary.
Services offered are power washing, painting ,tiling, construction works.",GLOBAL INDUSTRIAL SUPPLIES & SERVICES,"LOT # 43,LP# 5,BATTOO STREET,NEW CITY AVENUE,MARABELLA",,,MARABELLA,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,1-868,658-1094  /658-0684,MAILING,triciar@gissltt.com,18/07/2024 11:38:42 AM,GLOBAL INDUSTRIAL SUPPLIES & SERVICES LIMITED,LIMITED LIABILITY,10,"To provide supplies and services to different government entities. Supplier of pipes, valve, flanges, plumbing, electrical, safety, laboratory equipment's, construction materials, rental of tools and equipment, stationary.
Services offered are power washing, painting ,tiling, construction works.",GLOBAL INDUSTRIAL SUPPLIES & SERVICES LIMITED,NO,NIL,NO,NIL,NO,NIL,2005,TRINIDAD AND TOBAGO,www.gissltt.com
ANAK DISTRIBUTORS LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJNY122413,"RETAIL TRADE, HARDWARE, AGRICULTURAL SUPPLIES",,LP#52B ROBERT STREET EXTENSION,,,CUNUPIA,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,868-796-9330,PRIMARY,anakdistributors@gmail.com,19/07/2024 2:37:40 PM,ANAK DISTRIBUTORS LTD,LIMITED LIABILITY,1,"RETAIL TRADE, HARDWARE, AGRICULTURAL SUPPLIES",ANAK DISTRIBUTORS LTD,NO,,NO,,NO,,2024,TRINIDAD AND TOBAGO,
ENVIRONSANS ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",PNKUH109545,"General construction, Sanitation, Landscaping ",34 CIRCLE DRIVE,Broadway,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,123456,1-868-271-7564,,ressarennie1@gmail.com,19/07/2024 6:10:20 PM,ENVIRONSANS ,PARTNERSHIP,15,"General construction, Sanitation, Landscaping ",ENVIRONSANS,NO,,NO,,NO,,2003,TRINIDAD AND TOBAGO,
LEV ENTERPRISES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLNUA107318,GENERAL CONTRACTING SERVICES / CONSULTANCY AND CATERING SERVICES,,#31 ORCHID DRIVE,MIDWAY PARK,,FREEPORT,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,530602,18687134582,PRIMARY,leventerprises868@gmail.com,18/07/2024 11:40:15 AM,LEV ENTERPRISES LIMITED,LIMITED LIABILITY,4,GENERAL CONTRACTING SERVICES / CONSULTANCY AND CATERING SERVICES,LEV ENTERPRISES LIMITED,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
ENDEAVOUR HARDWARE SUPPLIES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLFOU105546,"Hardware Supplies
",ENDEAVOUR HARDWARE SUPPLIES LIMITED,LP 57 Soogrim Street,Endeavour Road,,CUNUPIA,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,0000,671-7992 / 468-3304,MAILING,ehsl-sarj@hotmail.com,28/06/2024 4:11:24 PM,ENDEAVOUR HARDWARE SUPPLIES LIMITED,LIMITED LIABILITY,10,"Hardware Supplies
",ENDEAVOUR HARDWARE SUPPLIES LIMITED,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,endeavourhardware.com
THE BUSINESS SUPPLY GROUP LTD (BOSS & SCRIP.J),NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLFMM100359,"Suppliers of Office Furniture, Lounge Furniture, Office & Filing Cabinets, Office Cubicles, Kitchen Furniture, Stationery, Restaurant Supplies, Offset Printing, Digital Printing, Publications and Stationery Printing, Promotional Items Printing, Display System, Packaging, Labels printing, Safety Signs, Magazines, Banners, Flags & Calendars.",,#804 Fernandes Industrial Centre,Eastern Main Road,,LAVENTILLE,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,260124,2353333,PRIMARY,nmartinez@bosstrinidad.com,08/07/2024 3:19:25 PM,THE BUSINESS SUPPLY GROUP LTD (BOSS & SCRIP.J),LIMITED LIABILITY,132,"Suppliers of Office Furniture, Lounge Furniture, Office & Filing Cabinets, Office Cubicles, Kitchen Furniture, Stationery, Restaurant Supplies, Offset Printing, Digital Printing, Publications and Stationery Printing, Promotional Items Printing, Display System, Packaging, Labels printing, Safety Signs, Magazines, Banners, Flags & Calendars.",THE BUSINESS SUPPLY GROUP,NO,,YES,,NO,,1991,TRINIDAD AND TOBAGO,"www.bosstrinidad.com
www.scripj.com"
SANGRE GRANDE HEAVY EQUIPMENT RENTAL AND TRANSPORT CONSTRUCTION LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLVYR103933,"Hardware Store, Heavy Equipment Rental, Contractor for construction projects",,1/4 mm Toco Road ,,,SANGRE GRANDE,SANGRE GRANDE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,000000,668-2166,,sgheavyequipment@gmail.com,15/07/2024 1:00:33 PM,SANGRE GRANDE HEAVY EQUIPMENT RENTAL AND TRANSPORT CONSTRUCTION LIMITED,LIMITED LIABILITY,6,"Hardware Store, Heavy Equipment Rental, Contractor for construction projects",SANGRE GRANDE HEAVY EQUIPMENT RENTAL AND TRANSPORT CONSTRUCTION LIMITED,NO,,NO,,NO,,2006,TRINIDAD AND TOBAGO,
BISRAM ENTERPRISES LIMITED ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLBCP107469,"Local & Imported Tyre, Tubes, Batteries, Diagnostics, Fleet Management, Hardware & Maintenance, Chemicals, Furniture & Appliances, Auto-Parts, Mechanical Repairs",,"48 Main Road, Montrose",,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8686710170,PRIMARY,bisram_ent_ltd@yahoo.com,15/07/2024 4:25:19 PM,BISRAM ENTERPRISES LIMITED ,LIMITED LIABILITY,15,"Local & Imported Tyre, Tubes, Batteries, Diagnostics, Fleet Management, Hardware & Maintenance, Chemicals, Furniture & Appliances, Auto-Parts, Mechanical Repairs",BISRAM ENTERPRISES LIMITED,NO,,NO,,NO,,1990,TRINIDAD AND TOBAGO,
BRANFORD GENERAL CONTRACTING SERVICES COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLYPN104609,"Facilities Maintenance, Infrastructure Development, General Contracting, Electrical services, Plumbing and HVAC, Masonry and concrete work, Carpentry, Roofing ,Consulting Services, Janitorial Services, Facility Management, Special Projects, Sewer, Building Maintenance, Gypsum Work, Tiling, Painting (residential & commercial), Waste Management Disposal, Transportation, Food Service Sanitation, Tank Cleaning Services

 ",,150-1,"Bon Air Circular Road, Bon Air Gardens",,AROUCA,NOT APPLICABLE,TRINIDAD AND TOBAGO,35,8682213127,PRIMARY,branfordgen@yahoo.com,16/07/2024 12:03:28 PM,BRANFORD GENERAL CONTRACTING SERVICES COMPANY LIMITED,LIMITED LIABILITY,60,"Facilities Maintenance, Infrastructure Development, General Contracting, Electrical services, Plumbing and HVAC, Masonry and concrete work, Carpentry, Roofing ,Consulting Services, Janitorial Services, Facility Management, Special Projects, Sewer, Building Maintenance, Gypsum Work, Tiling, Painting (residential & commercial), Waste Management Disposal, Transportation, Food Service Sanitation, Tank Cleaning Services

 ",BRANFORD GENERAL CONTRACTING SERVICES COMPANY LIMITED,NO,,NO,,NO,,2011,TRINIDAD AND TOBAGO,
VEMARA CONSTRUCTION LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLOQM107178,GENERAL CONTRACTING SERVICES,,"#31, ORCHID DRIVE",MIDWAY PARK,,FREEPORT,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,530602,18686856254,PRIMARY,Vemara868@gmail.com,16/07/2024 12:13:19 PM,VEMARA CONSTRUCTION LTD,LIMITED LIABILITY,0,GENERAL CONTRACTING SERVICES,VEMARA CONSTRUCTION LTD,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLRHV106550,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",,# 95 SMR EDINBURGH CHAGUANAS,,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,-,+18683332696,PRIMARY,anisakhan@129marketing.com,02/07/2024 11:44:37 AM,129 MARKETING AND DISTRIBUTION SERVICES LIMITED,LIMITED LIABILITY,50,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,www.129marketing.com
CORPORATE AND MULTIMEDIA MARKETING,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPMOS108332,RETAIL & WHOLESALE,CORPORATE AND MULTIMEDIA MARKETING,#9 Lylelane Street,Felicity,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,0000,8687904170,MAILING,corporateandmultimediamkt@gmail.com,02/07/2024 3:26:14 PM,CORPORATE AND MULTIMEDIA MARKETING,SOLE PROPRIETORSHIP,0,RETAIL & WHOLESALE,CORPORATE AND MULTIMEDIA MARKETING,YES,,NO,,NO,,,TRINIDAD AND TOBAGO,corporateandmultimediamkt@gmail.com
ANIL’S TYRE SERVICE LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLBQH105269,"The services provided are second to none and include the Construction of Box Drains, Kerbwall and Slipper Drains, Stabilization of Landslips, Construction of Bridges and Cylindrical Crossings, Gabion Baskets, Retaining Walls, Installation and Commissioning of Lighting Fixtures, Tiling, Painting, Demolition and Site Cleanup, Removal of Bulk Waste, Stock-pilers and Suppliers of all Road Building Materials, Rental of Excavator, Backhoe, Dump Trucks, 3 Ton Flat Bed Truck for transportation purposes. We are also Suppliers of all Brand and Sizes of New Agricultural, Industrial, Commercial, Light Truck and Passenger Tyres , Nitrogen Inflation and Computerized Speed Balancing. We are the Authorized Distributor and Battery Claim Centre for Power Master, Bosch, Optima Gel Batteries, Ultra Power, Motorbike and ATV Batteries.",,2523 Naparima Mayaro Road,,,RIO CLARO ,MAYARO/RIO CLARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8683610208,PRIMARY,anilstyreservice@hotmail.com,27/06/2024 4:30:13 PM,ANIL’S TYRE SERVICE LIMITED,LIMITED LIABILITY,8,"The services provided are second to none and include the Construction of Box Drains, Kerbwall and Slipper Drains, Stabilization of Landslips, Construction of Bridges and Cylindrical Crossings, Gabion Baskets, Retaining Walls, Installation and Commissioning of Lighting Fixtures, Tiling, Painting, Demolition and Site Cleanup, Removal of Bulk Waste, Stock-pilers and Suppliers of all Road Building Materials, Rental of Excavator, Backhoe, Dump Trucks, 3 Ton Flat Bed Truck for transportation purposes. We are also Suppliers of all Brand and Sizes of New Agricultural, Industrial, Commercial, Light Truck and Passenger Tyres , Nitrogen Inflation and Computerized Speed Balancing. We are the Authorized Distributor and Battery Claim Centre for Power Master, Bosch, Optima Gel Batteries, Ultra Power, Motorbike and ATV Batteries.",ANIL’S TYRE SERVICE LIMITED,NO,,NO,,NO,,2007,TRINIDAD AND TOBAGO,
JWALLA PERSAD SUPERMARKET,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",PNNVA107752,"Supermarket, Wholesaler and Retailer of Grocery Items, Stationery, Liquor, Phone Cards",,,,,,,,,,,sankarpersad@gmail.com,17/06/2024 4:46:30 PM,JWALLA PERSAD SUPERMARKET,PARTNERSHIP,7,"Supermarket, Wholesaler and Retailer of Grocery Items, Stationery, Liquor, Phone Cards",JWALLA PERSAD SUPERMARKET,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,
LESA BUSINESS SOLUTIONS ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPWOJ105542,"Office Consumables , Printing Supplies and Leasing of Office Equipment and Contracting Services ",,,,,,,,,,,lesabusinesssolutions@gmail.com,21/06/2024 9:02:11 AM,LESA BUSINESS SOLUTIONS ,SOLE PROPRIETORSHIP,4,"Office Consumables , Printing Supplies and Leasing of Office Equipment and Contracting Services ",LESA BUSINESS SOLUTIONS ,NO,,NO,,NO,,2022,TRINIDAD AND TOBAGO,
ARBUNA MAINTENANCE COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLHYR100227,Janitorial  / Landscaping & Facilities Maintenance Contractor,,"4 JAIPAUL STREET, ",STE MADELEINE,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,000000,698-1231,PRIMARY,amcltrinidad@gmail.com,25/06/2024 3:02:21 PM,ARBUNA MAINTENANCE COMPANY LIMITED,LIMITED LIABILITY,30,Janitorial  / Landscaping & Facilities Maintenance Contractor,ARBUNA MAINTENANCE COMPANY LIMITED,NO,,NO,,NO,,2007,TRINIDAD AND TOBAGO,
YUNAKA ENTERPRISES COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLAYJ105073,GENERAL CONSTRUCTION AND MAINTENCE,,LP 59 SERRANEAU ROAD,UPPER ST. FRANCOIS VALLEY ROAD.,BELMONT,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO, 00000,868 726 0805,PRIMARY,yunakaenterprises301@gmail.com,18/06/2024 12:09:07 PM,YUNAKA ENTERPRISES COMPANY LIMITED,LIMITED LIABILITY,3,GENERAL CONSTRUCTION AND MAINTENCE,YUNAKA ENTERPRISES COMPANY LIMITED,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,
DOLLARWISE ENTERPRISES LTD.,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLVVT110695,"Construction
Provision of material
Maintenance
General Services",,,,,,,,,,,dollarwiseenterprisesltd@gmail.com,11/06/2024 12:00:43 PM,DOLLARWISE ENTERPRISES LTD.,LIMITED LIABILITY,2,"Construction
Provision of material
Maintenance
General Services",DOLLARWISE ENTERPRISES LTD,NO,,NO,,NO,,2022,TRINIDAD AND TOBAGO,
A MOSES & SONS LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLSAF104450,"Government Contractors, Wholesalers, Agents, Distributors, Products (Safety, Janitorial, Power Tools, Tools and Implements)",A. MOSES & SONS LIMITED,181 Tragarete Road,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,0000,"623-4482, 628-8928",,sales@amosestt.com,11/06/2024 12:15:10 PM,A MOSES & SONS LIMITED,LIMITED LIABILITY,15,"Government Contractors, Wholesalers, Agents, Distributors, Products (Safety, Janitorial, Power Tools, Tools and Implements)",A. MOSES & SONS LTD,NO,,NO,,NO,,1957,TRINIDAD AND TOBAGO,amosestt.com
INSAFE INDUSTRIAL SUPPLIES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLVLP106579,"Insafe Industrial Supplies Ltd; an innovative Safety Supplies Company incorporated in Trinidad specializing in:-
Safety - Full line of PPE
Industrial & Oilfield- (Pipes, Valves, Fittings SCH40, S/S, MI, Wire Ropes, lever hoist, slings, Gaskets etc) 
Welding - Electrodes, Cup brushes, Grinding & cutting disc, steel brushes, welding accessories 
Hardware - Angle Iron, Flats, Hammers, screws, bolts, nuts & washers, Tool kit, Construction ply, wheelbarrows, paintbrushes, silicone, nails, Padlocks, Tarpaulins, Purlins, Beams,  all hardware tools etc)
Fire supplies & Equipment - Fire extinguishers, signs, blankets, Hose, First Aid kits etc)
Protective Clothing - Shirt & Pants, Coveralls Cotton & Nomex.",#12,"2ND BRANCH ROAD, HERMITAGE VILLAGE, LA-ROMAIN",SAME AS ABOVE,SAME AS ABOVE,SAN-FERNANDO,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,650722,283-6176,MAILING,insafeindustrialsupltd@gmail.com,13/06/2024 12:10:17 PM,INSAFE INDUSTRIAL SUPPLIES LIMITED,LIMITED LIABILITY,20,"Insafe Industrial Supplies Ltd; an innovative Safety Supplies Company incorporated in Trinidad specializing in:-
Safety - Full line of PPE
Industrial & Oilfield- (Pipes, Valves, Fittings SCH40, S/S, MI, Wire Ropes, lever hoist, slings, Gaskets etc) 
Welding - Electrodes, Cup brushes, Grinding & cutting disc, steel brushes, welding accessories 
Hardware - Angle Iron, Flats, Hammers, screws, bolts, nuts & washers, Tool kit, Construction ply, wheelbarrows, paintbrushes, silicone, nails, Padlocks, Tarpaulins, Purlins, Beams,  all hardware tools etc)
Fire supplies & Equipment - Fire extinguishers, signs, blankets, Hose, First Aid kits etc)
Protective Clothing - Shirt & Pants, Coveralls Cotton & Nomex.",INSAFE INDUSTRIAL SUPPLIES LIMITED,NO,NIL,NO,,NO,,2015,TRINIDAD AND TOBAGO,FACEBOOK - INSAFE INDUSTRIAL SUPPLIES LIMITED
DEBROS MARKETING & SERVICES COMPANY LTD.,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLCRL105219,General Maintenance/ Civil works/ Janitorial Services ,,20 Zinnia Drive,,,PLEASANTVILLE,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,868,7644569,,debros.marketing@gmail.com,13/06/2024 1:41:54 PM,DEBROS MARKETING & SERVICES COMPANY LTD.,LIMITED LIABILITY,40,General Maintenance/ Civil works/ Janitorial Services ,DEBROS MARKETING AND SERVICES CO. LTD.,NO,,NO,,NO,,1999,TRINIDAD AND TOBAGO,
TRINIDAD BRUSHWARE LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLCYD120792,Manufacturer for Brooms and Mops and sells cleaning products,,LOT 44 SAWMILL AVENUE,,,BARATARIA,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,(868)675-5208,,info@trinidadbrushware.com,14/06/2024 12:52:08 PM,TRINIDAD BRUSHWARE LIMITED,LIMITED LIABILITY,12,Manufacturer for Brooms and Mops and sells cleaning products,TRINIDAD BRUSHWARE LIMITED,NO,,NO,,NO,,1970,TRINIDAD AND TOBAGO,
OILFIELD & INDUSTRIAL HARDWARE LTD.,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLWPW104213,"Suppliers of Pipe, Valve, Pipe Fittings and rigging equip etc",OILFIELD & INDUSTRIAL HARDWARE LTD.,236 Southern Main Road ,Marabella,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,000000,+18686585000,PRIMARY,seudatrishi@gmail.com,22/05/2024 9:49:37 AM,OILFIELD & INDUSTRIAL HARDWARE LTD.,LIMITED LIABILITY,12,"Suppliers of Pipe, Valve, Pipe Fittings and rigging equip etc",OILFIELD & INDUSTRIAL HARDWARE LTD,NO,,NO,,NO,,2004,TRINIDAD AND TOBAGO,
INTERCHEM LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLJGQ100027,"Welding, Janitorial Supplies, Chemicals, Automotive care supplies, Fire and safety service and supplies",,9th Avenue South ,,,BARATARIA,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,250626,6383800,,wedghill@interchem.co.tt,29/05/2024 8:42:41 AM,INTERCHEM LIMITED,LIMITED LIABILITY,40,"Welding, Janitorial Supplies, Chemicals, Automotive care supplies, Fire and safety service and supplies",INTERCHEM LIMITED,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,www.interchem.co.tt
RAMADHAR'S FOOD AND LIQUOR CENTRE AND COMPANY LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLGRP105385,Wholesale and retail supplier of grocery items,RAMADHAR'S FOOD AND LIQUOR CENTRE AND COMPANY LIMITED,49 Freeport Mission Road,,,FREEPORT,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,000000,8686730023,PRIMARY,lidiaramadhar@gmail.com,10/06/2024 12:00:08 PM,RAMADHAR'S FOOD AND LIQUOR CENTRE AND COMPANY LIMITED,LIMITED LIABILITY,6,Wholesale and retail supplier of grocery items,RAMADHAR'S FOOD AND LIQUOR CENTRE AND COMPANY LIMITED,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,
ROJAN MARKETING LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLIES103853,"Distributor of Janitorial Tool, Dispensers, Cleaning Chemicals, Paper Supplies, Packaging and Food Packaging Items.",,"19A El Socorro Road,",Extension No. 1,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,612-4756,PRIMARY,admin@rojanmarketing.com,05/06/2024 10:43:11 AM,ROJAN MARKETING LIMITED,LIMITED LIABILITY,30,"Distributor of Janitorial Tool, Dispensers, Cleaning Chemicals, Paper Supplies, Packaging and Food Packaging Items.",ROJAN MARKETING LIMITED,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,www.rojanmarketing.com
REV'S ISLAND SAFETY SUPPLIES AND COMPANY,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPHAT107140,Provision of Health and Safety Supplies and Equipment and fire alarm supplies and services. Welding and construction.,TLH BUILDING COMPOUND,UNIT 1-3 MILFORD ROAD,,,SCARBOROUGH,TOBAGO,TRINIDAD AND TOBAGO,000,352-0804,MAILING,revsislandsafety@ymail.com,05/06/2024 5:27:48 PM,REV'S ISLAND SAFETY SUPPLIES AND COMPANY,SOLE PROPRIETORSHIP,2,Provision of Health and Safety Supplies and Equipment and fire alarm supplies and services. Welding and construction.,REV'S ISLAND SAFETY SUPPLIES AND COMPANY,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,
LAUGHLIN & DE GANNES LTD,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLUYI104790,We supply and service tools and equipment for the Industrial and home sector. We also provide automotive parts and accessories as well as service and repair vehicles ,LAUGHLIN & DE GANNES LTD,37 Dundonald Street,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,625-1712,PRIMARY,gary_goberdhan@ldgtt.com,25/04/2024 3:43:11 PM,LAUGHLIN & DE GANNES LTD,LIMITED LIABILITY,134,We supply and service tools and equipment for the Industrial and home sector. We also provide automotive parts and accessories as well as service and repair vehicles ,LAUGHLIN & DE GANNES LTD,NO,,NO,,NO,,1949,TRINIDAD AND TOBAGO,https://www.ldgtt.com/
DASS ENTERPRISES,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",SPQLF107132,"Supplier of uniforms, ",,# 54 Sixth Aveune,,,BARATARIA,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8686384388,PRIMARY,dassenterprises.tt@gmail.com,29/04/2024 10:11:34 AM,DASS ENTERPRISES,SOLE PROPRIETORSHIP,2,"Supplier of uniforms, ",DASS ENTERPRISES,NO,,NO,,NO,,1993,TRINIDAD AND TOBAGO,
S.I.L IMPORTS & EXPORTS LIMITED ,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLPDQ103840,"
SAFETY SUPPLIES?SCHOOL SUPPLIES
FOOTWEAR:
STATIONERY SUPPLIES
HARDWARE SUPPLIES
FURNITURES AND FIXTURES
ELECTRICAL SUPPLIES
PLUMBING SUPPLIES
AGRO SUPPLIES
SUPERMARKET SUPPLIES
STADIUM SUPPLIES
HOSPITAL SUPPLIES
CINEMA SUPPLIES
SECURITY ITEMS
GIFT ITEMS
ADVERTISING ITEMS
RESTAURANT SUPPLIES
MEDICAL DEVICES
",SIL IMPORTS & EXPORTS LIMITED,"123 NEW COLONIAL ROAD,",Barrackpore,,BARRACKPORE,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,8686543969,PRIMARY,silimportexport@hotmail.com,15/05/2024 9:16:31 AM,S.I.L IMPORTS & EXPORTS LIMITED ,LIMITED LIABILITY,5,"
SAFETY SUPPLIES?SCHOOL SUPPLIES
FOOTWEAR:
STATIONERY SUPPLIES
HARDWARE SUPPLIES
FURNITURES AND FIXTURES
ELECTRICAL SUPPLIES
PLUMBING SUPPLIES
AGRO SUPPLIES
SUPERMARKET SUPPLIES
STADIUM SUPPLIES
HOSPITAL SUPPLIES
CINEMA SUPPLIES
SECURITY ITEMS
GIFT ITEMS
ADVERTISING ITEMS
RESTAURANT SUPPLIES
MEDICAL DEVICES
",S.I.L IMPORTS & EXPORTS LIMITED ,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,
HANSLEY AND GERALD SERVICES LIMITED,NEW,0,"Toilet brush and toilet brush holderLEVEL 1 (0 - $100,000.00)",LLWWH103676,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",,#123 Mango Avenue ,Santa Rosa Heights,,ARIMA,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,123,18686677205,MAILING,handgservicesltd@hotmail.com,15/05/2024 9:19:17 AM,HANSLEY AND GERALD SERVICES LIMITED,LIMITED LIABILITY,12,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",HANSLEY AND GERALD SERVICES LIMITED ,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,
